Corruption,Source_Only,MoTTA_Original,Ablation_OdpMoTTA_MemMoTTA,Ablation_OdpBlockWise_MemMoTTA,Ablation_OdpMoTTA_MemAamp,MoTTA_AAMP,%Change Vs MoTTA
gaussian_noise,94.32,70.93,71.03,70.4,69.57,69.02,-1.91
shot_noise,93.51,68.3,68.53,67.28,67.31,66.55,-1.75
impulse_noise,93.56,68.25,68.53,67.92,67.41,67.04,-1.21
defocus_blur,84.97,72.4,69.43,69.95,67.8,68.32,-4.08
glass_blur,91.77,73.25,72.39,72.43,71.25,70.8,-2.45
motion_blur,86.7,59.82,59.34,59.31,58.66,58.64,-1.18
zoom_blur,77.14,51.59,51.29,51.39,50.88,50.68,-0.91
snow,84.41,53.33,53.44,52.37,52.93,52.1,-1.23
frost,79.56,59.54,59.46,58.53,58.49,57.86,-1.68
fog,77.79,43.92,43.58,43.05,43.43,43.17,-0.75
brightness,44.36,34.46,33.47,33.64,33.25,33.08,-1.38
contrast,95.78,62.62,61.14,61.49,58.41,59.09,-3.53
elastic_transform,85.68,46.33,46.64,46.34,46.49,46.39,0.06
pixelate,77.01,43.14,43,42.89,42.64,42.6,-0.54
jpeg_compression,65.46,49.99,48.99,48.81,48.7,48.15,-1.84
Total,82.13,57.19,56.68,56.39,55.81,55.57,-1.63
