Corruption,Source_Only,MoTTA_Original,Ablation_ODP_Orig_Mem_MoTTA,Ablation_ODP_Block_Mem_MoTTA,Ablation_ODP_Orig_Mem_AAMP,MoTTA_AAMP
motion_blur,86.70,59.82,59.34,59.31,58.66,58.64
zoom_blur,77.14,51.59,51.29,51.39,50.88,50.68
snow,84.41,53.33,53.44,52.37,52.93,52.10
frost,79.56,59.54,59.46,58.53,58.49,57.86
fog,77.79,43.92,43.58,43.05,43.43,43.17
brightness,44.36,34.46,33.47,33.64,33.25,33.08
contrast,95.78,62.62,61.14,61.49,58.41,59.09
elastic_transform,85.68,46.33,46.64,46.34,46.49,46.39
pixelate,77.01,43.14,43.00,42.89,42.64,42.60
jpeg_compression,65.46,49.99,48.99,48.81,48.70,48.15
